NoName		Bangkok, Suvarnabhumi Room No 409-410, 4th Floor, Free Zone Operator Building (BFZ) Suvarnabhumi A/P 99 Moo 10 Bangna-Trad Highway (KM 15) Rachathewa, Bangphli, Bangkok Samutprakarn 10540 	+66 (0)2 134-3570/7	www.skycargo.com	+66 (0)2 134-3580	
NoName	cargo.info@thaiairways.com	Bangkok, Suvarnabhumi Operation Centre (OPC) A1 Bldg. 5th Fl. Suvarnabhumi Airport 333 Moo 1, Nong Prue Bangphli Samutprakarn 10540 	+66 (0)2 137-4000,+66 (0)2 137-4940-2,+66 (0)2 137-4206	www.thaicargo.com	+66 (0)2 137-4605	
A-Sonic Logistics (Thailand) Co Ltd	enquiry@asonic-logisticsolutions.com	Bangkok 3241 Rama 4 Road Room 504 5th Floor Boss Tower Building Klongton, Klongtoey Bangkok 10110 	+66 (0)2 260 6414,+66 (0)2 260 6415 (Customer Service),+66 (0)2 260 6416/7 (Customer Service)	www.asonic-logistics.com	+66 (0)2 260-6418	
Laparkan (Cayman Islands)	wcafamily@laparkan.com	Tel: +1 345 +868-625-4775 Mobile: +868-678-6055Fax: +868-627-2331 Email: wcafamily@laparkan.com Website: www.laparkan.com	+1 345 +868-625-4775	www.laparkan.com	+868-627-2331	
Accord Pilot Logistics (Thailand)	naratip@pilot.co.th	Bangkok 2024 / 84 Sukhumvit 50 Rimthang Rotfai Rd. Phrakanong Klongtoey Bangkok 10260 		www.pilot.co.th		
Acho Interfreight Co Ltd	csv@acho.co.th	Bangkok 801 Karnchanapisek 008 Bnagkae District, Bangkae Bangkok 10160 	+66 (0)922 671 900,+66 (0)2 803-2048	www.acho.co.th	+66 (0)2 803-2449	 johnencom
Act 247 Co., Ltd.	cs@myact247.com	Bangkok 3 Soi 4 (Seri 2 Road) Huamark, Bangkapi Bangkok 10250 	+66 (0)897852992	www.actglobal.xyz		 lookpetch@hotmail.com
Acutech Co Ltd	rakshit@acutech.co.th	Bangkok 87/126 Modern Town Tower, Bldg A, 17/Fl Sukhumvit 63 Road North Klongton, Wattana Bangkok 10110 	+66 (0)2 711-6180/3	www.acutech.co.th	+66 (0)2 711-6930+66 (0)2 381-7566	
Addicon Logistics (Thailand) Co Ltd	marketing@addicon.co.th	Bangkok 999/52 Soi Kingkaew 14/1, Kingkaew Road Tumbon Rachatewa Aumphur Bangpree Samutprakarn, Bangkok 10540 	+66 (0)2 750 0588,+66 (0)2 750 0663,+66 (0)2 750 0699	www.addicon.com.sg	+66 (0)2 750 0255	
Advance Marine Logistics Co., Ltd.	csexim@amlthailand.com	Bangkok 1360 Sutthisanvinijchai road, Kwaeng Huaykwang, Khet Huaykwang Bangkok 10310 Thailand Bangkok 10310 	+66 (0)26932311	www.amlthailand.com	+66 (0)26932310	 cs_aml
AerOceaNetwork (AON)	info@aonrelocations.net,coordinator@perishablelogisticsspecialists.net	Bangkok C/o Razorback Co Ltd 75/6 Richmond Bldg, 3B Floor Soi Sukhumvit 26, Sukhumvit Rd Klongton, Klongtoey, Bangkok 10110 	+66 (0)2 661-5541	www.aonrelocations.net, www.perishablelogisticsspecialists.net	+66 (0)2 661-5542	
AeroSvit Airlines		General Sales Agents: Ican Transport International Co Ltd				
Aerounion		General Sales Agents: Air Logistics Group				
Air India	smicbkk@ksc.th.com,aitktrsvn@gmail.com	Bangkok Ste 128/108, 9th Fl, Payathai Plaza Bld Payathaid, Tungpayathai Rd Rajthevee Bangkok 10400 	+66 (0)2 216-5691/5	www.airindia.com	+66 (0)2 216-5687	
Air Logistics Group		Samut Prakan 36/152 Mooban Rk Biz Center Motorway Road Khlong Song Ton Nun Lat Krabang Bangkok 10520 	+66 (0)1717825	www.airlogisticsgroup.com	+66 (0)2316148	
Air Malawi		General Sales Agents: Ican Transport International Co Ltd				
Air Sea Business Co., Ltd	suthiwadee@airseabiz.co.th	Bangkok, Suvarnabhumi 188/73-74 Moo4 Soi Paisaneekao, kingkaewteparak rd, Bangpleeyai,Bangplee Samuthprakarn 10540 	+66 (0)21839661,+66 (0)21837445,+66 (0)21839756	www.airseabiz.co.th	+66 (0)21839661	
AirBridgeCargo Airlines		General Sales Agents: Worldwide GSA (Thailand) Co Ltd				
Airports of Thailand Public Company Limited (AOT)	aotpr@airportthai.co.th	Bangkok 333 Cherdwutugard Road, Srikan Don Mueang Bangkok 10210 	+66 (0)2 535-1111	www.airportthai.co.th	+66 (0)2 535-4061	
AL Link Line Co Ltd	allink@allink.co.th	Bangkok 3rd Floor, SCD Building 80/2-4 Chan Road Watprayakrai, Bangkolaem Bangkok 10120 	+66 (0)2 212-6793/4	www.allink.co.th	+66 (0)2 212-6984	
Atlas Express Logistics Co Ltd	wannipha@atlasexpresslog.com	Bangkok No 1 TAC House, 4th Floor Soi Ruam Rudi, Ploenchit Road Lumpini, Pathumwan Bangkok 10330 	+66 (0)2 253-6544/7	www.atlaslogistics.co.in	+66 (0)2 650-9025	
Avianca		General Sales Agents: Air Logistics Group				
Avigo Express Co Ltd	cs@avigo.co.th	Bangkok 56/2 Soi Taksin 12/1 Taksin Road Bookkalo, Thonburi Bangkok 10600 	+66 (0)2 890-6616,+66 (0)1 833-1907	www.avigo.co.th	+66 (0)2 890-6617	
Santiago del Estero Airport		Santiago del Estero Ave Madre de Ciudades Santiago del Estero 4200 	+54 (0)385 434-3654			
Bangkok - Suvarnabhumi International Airport		Samut Prakan 999 Moo 1 Bangna - Trad Rd KM 15 Rachathewa Bangphli District Samut Prakan 10540 	+66 (0)2 132-1888,+66 (0)2 132-1111/2	www.suvarnabhumiairport.com	+66 (0)2 132-1889	
Better Freight & Transport Co Ltd	yingtip@better-freight.co.th	Bangkok 116/61 SSP Tower 2, 17th Floor Na Ranong Road Klongtoey Bangkok 10110 	+66 (0)2 672-9982	www.better-freight.co.th	+66 (0)2 711 9110+66 (0)2 671-2816	
Blue Whale Line Co Ltd	suvit@bluewhaleline.com	Bangkok, Suvarnabhumi 294/38 RomKlao Road Klongsampravet, Lad Krabang Bangkok 10520 	+66 (0)2 849-5016	www.bluewhaleline.com		
Bringer Air Cargo		General Sales Agents: Ican Transport International Co Ltd				
Brussels Airlines		General Sales Agents: Ican Transport International Co Ltd, Air Logistics Group				
